cliente_id,idade,renda_estimada,valor_compra,qtd_parcelas,ja_usou_pix_parcelado_antes,score_credito,inadimplente,estrategia_lembrete,recuperou
CLI1000,22,2369.71,1814.17,4,1,834,0,N/A,0
CLI1001,43,1154.48,2600.64,4,0,802,0,N/A,0
CLI1002,21,2428.98,2223.55,9,0,629,0,N/A,0
CLI1003,37,2568.09,1837.05,9,0,516,1,Lembrete com opção de renegociar,0
CLI1004,41,5432.11,1546.46,9,0,506,0,N/A,0
CLI1005,57,1962.84,934.52,4,0,505,0,N/A,0
CLI1006,46,2364.34,764.67,3,0,640,0,N/A,0
CLI1007,32,2613.27,531.44,3,0,687,0,N/A,0
CLI1008,41,2413.57,2834.91,4,1,819,0,N/A,0
CLI1009,26,2051.27,1397.43,12,0,683,0,N/A,0
CLI1010,43,1835.69,998.18,4,0,901,0,N/A,0
CLI1011,64,1635.98,1638.61,6,0,687,1,Lembrete com opção de renegociar,1
CLI1012,60,2300.94,2325.99,9,0,692,0,N/A,0
CLI1013,44,5160.69,1020.11,2,1,478,0,N/A,0
CLI1014,26,1400.44,1789.76,2,0,608,1,Lembrete simples,0
CLI1015,57,2164.15,918.73,2,0,875,0,N/A,0
CLI1016,56,4616.86,2436.94,4,1,479,0,N/A,0
CLI1017,22,1053.29,2662.66,3,0,819,1,Lembrete simples,0
CLI1018,25,1409.49,217.86,3,1,703,0,N/A,0
CLI1019,62,2067.53,2579.44,2,0,692,1,Lembrete com opção de renegociar,1
CLI1020,18,2157.5,545.72,2,1,566,0,N/A,0
CLI1021,29,1627.37,464.94,4,0,726,0,N/A,0
CLI1022,24,1949.94,244.48,9,1,338,1,Lembrete com opção de renegociar,1
CLI1023,37,3682.23,2009.39,3,0,424,0,N/A,0
CLI1024,62,1520.58,1599.37,4,0,582,0,N/A,0
CLI1025,23,986.37,1326.53,3,0,768,0,N/A,0
CLI1026,42,2102.79,764.05,2,1,578,0,N/A,0
CLI1027,18,1802.6,239.71,4,0,754,0,N/A,0
CLI1028,52,1863.99,55.28,3,0,552,0,N/A,0
CLI1029,27,928.21,1781.84,2,0,718,0,N/A,0
CLI1030,32,1283.49,1623.06,2,0,704,0,N/A,0
CLI1031,56,980.15,1195.77,4,1,584,0,N/A,0
CLI1032,22,1000.66,2676.29,3,1,630,0,N/A,0
CLI1033,64,2036.82,1092.62,12,0,642,0,N/A,0
CLI1034,27,1525.32,1940.15,4,1,744,0,N/A,0
CLI1035,41,2336.13,178.21,2,1,882,0,N/A,0
CLI1036,53,7168.11,2081.87,4,0,638,0,N/A,0
CLI1037,21,1594.98,2769.97,2,0,472,1,Lembrete simples,1
CLI1038,26,3351.42,2639.88,6,1,430,0,N/A,0
CLI1039,37,3462.66,1795.16,6,0,866,1,Lembrete simples,0
CLI1040,19,1632.16,1980.3,12,0,576,0,N/A,0
CLI1041,18,1253.7,425.71,3,1,746,0,N/A,0
CLI1042,34,1775.95,2610.75,3,1,746,0,N/A,0
CLI1043,49,1104.28,630.56,2,0,820,0,N/A,0
CLI1044,47,3026.88,1930.26,6,0,536,0,N/A,0
CLI1045,62,2694.84,1308.93,4,1,436,0,N/A,0
CLI1046,46,1565.04,2548.08,6,1,634,1,Lembrete com opção de renegociar,0
CLI1047,25,2749.92,161.02,3,0,665,0,N/A,0
CLI1048,41,3796.46,1782.74,4,0,612,0,N/A,0
